participant,Close collaboration exact,Close collaboration,Loose collaboration exact,Loose collaboration,Delta,Out of range
P4,1104.683758,1.105,953.1934229,0.953,-151.4903348,1217.370995
P3,1095.363108,1.095,1117.475604,1.117,22.11249562,1227.252602
P5,971.7606783,0.972,821.7142545,0.822,-150.0464238,1042.873112
P6,1051.913402,1.052,878.0895011,0.878,-173.8239006,1213.551904
P8,849.0203409,0.849,898.7258911,0.899,49.70555016,856.6075719
P7,1185.433624,1.185,1216.51455,1.217,31.08092562,1133.054198
P9,813.9540068,0.814,697.6986065,0.698,-116.2554003,1819.190791
P10,951.9891984,0.952,868.388781,0.868,-83.6004174,2118.563604
P11,1164.092667,1.164,1111.506467,1.112,-52.58620019,1342.844195
P12,948.3462414,0.948,765.8957555,0.766,-182.4504859,1001.91011
P13,855.828074,0.856,757.2070031,0.757,-98.62107094,994.4795451
P14,999.9809709,1,992.524022,0.993,-7.456948941,1273.444152
P16,1174.794872,1.175,992.3787101,0.992,-182.4161619,1201.052615
P15,1079.285232,1.079,936.6854587,0.937,-142.5997736,1073.891577
P18,962.819395,0.963,1396.164996,1.396,433.3456011,1293.277927
P17,944.0858729,0.944,1207.980522,1.208,263.8946496,1181.255064
P19,1100.398334,1.1,1009.121312,1.009,-91.27702212,1578.163534
P20,977.9520965,0.978,945.7722482,0.946,-32.17984825,1205.134998
P21,1040.476628,1.04,980.4829576,0.98,-59.99367037,1338.267406
P22,918.1533378,0.918,877.759077,0.878,-40.39426075,1093.389387
