modality,person,subtask
Speech,P3,search
Touch,P4,open document
Touch,P4,move document
Touch,P4,move document
Touch,P4,move document
Speech,P3,search
Speech,P4,search
Touch,P3,open document
Touch,P3,open document
Touch,P3,move document
Touch,P3,move document
Touch,P3,move document
Touch,P3,open document
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P4,add tag
Speech,P4,add tag
Speech,P3,search
Touch,P4,select document
Touch,P4,assign tag
Touch,P3,open document
Touch,P4,close document
Touch,P3,scroll
Touch,P3,mark sentence
Touch,P4,mark sentence
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P4,clear sentence
Touch,P3,clear sentence
Touch,P3,scroll
Touch,P4,mark sentence
Touch,P4,scroll
Touch,P4,resize document
Touch,P4,scroll
Touch,P4,move document
Touch,P3,search
Touch,P3,select document
Touch,P3,add tag
Touch,P3,assign tag
Touch,P3,deselect document
Touch,P4,close document
Touch,P4,move document
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P4,scroll
Touch,P4,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,resize document
Touch,P3,resize document
Touch,P3,move document
Touch,P3,resize document
Touch,P3,resize document
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P4,move document
Touch,P4,mark sentence
Touch,P3,resize document
Touch,P4,mark sentence
Touch,P3,resize document
Touch,P4,mark sentence
Touch,P3,resize document
Touch,P4,clear sentence
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P4,mark sentence
Touch,P3,clear sentence
Touch,P4,mark sentence
Touch,P3,clear sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P3,clear sentence
Touch,P3,move document
Touch,P4,clear sentence
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Speech,P3,search
Speech,P4,close document
Touch,P3,open document
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P3,scroll
Touch,P3,scroll
Touch,P4,mark sentence
Touch,P4,clear sentence
Touch,P4,mark sentence
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,scroll
Touch,P3,close document
Speech,P4,search
Touch,P4,open document
Touch,P3,open document
Touch,P4,open document
Touch,P3,move document
Touch,P4,move selected docs
Touch,P3,select document
Touch,P3,deselect document
Touch,P4,select document
Touch,P4,assign tag
Touch,P4,deselect document
Touch,P3,mark sentence
Touch,P3,mark sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P3,clear sentence
Touch,P3,mark sentence
Touch,P3,mark sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P3,clear sentence
Touch,P3,mark sentence
Touch,P3,clear sentence
Touch,P3,clear sentence
Touch,P3,clear sentence
Touch,P3,move document
Touch,P3,open document
Touch,P3,select document
Touch,P3,select document
Touch,P3,add tag
Touch,P3,move selected docs
Touch,P3,add tag
Touch,P3,select document
Touch,P3,move selected docs
Touch,P3,move document
Touch,P3,add tag
Touch,P3,assign tag
Touch,P4,close document
Touch,P3,move selected docs
Touch,P3,deselect document
Touch,P3,deselect document
Touch,P3,deselect document
Speech,P4,search
Touch,P3,move document
Touch,P3,move document
Touch,P4,open document
Touch,P3,move document
Touch,P3,close document
Touch,P3,move document
Touch,P3,open document
Touch,P3,open document
Touch,P3,move document
Touch,P4,move document
Touch,P4,move document
Touch,P4,move document
Touch,P4,open document
Touch,P3,open document
Touch,P3,move document
Touch,P4,move document
Touch,P3,move document
Touch,P3,move document
Speech,P4,search
Touch,P4,close document
