modality,frame,person,wall_x,wall_y,pair
Voice,2273,P3,-1387.58,2865.514,P3P4
Voice,4662,P3,1680.14,2027.8319999999999,P3P4
Touch,6672,P3,-1227.57,473.57366666666667,P3P4
Touch,6712,P3,-2109.27,462.0018,P3P4
Touch,6782,P3,-2324.38,472.61319999999995,P3P4
Touch,6790,P3,-2265.33,469.087,P3P4
Touch,6859,P3,-1972.63,206.7418,P3P4
Touch,6879,P3,-2275.19,234.77380000000002,P3P4
Touch,7089,P3,-1865.42,658.3676,P3P4
Touch,7102,P3,-1858.62,638.3327999999999,P3P4
Touch,7362,P3,-1819.83,592.385,P3P4
Voice,9194,P3,-1191.46,1798.664,P3P4
Voice,9429,P3,-1278.17,1839.298,P3P4
Touch,9668,P3,-2089.56,549.8032000000001,P3P4
Touch,9790,P3,-2486.81,240.89540000000002,P3P4
Touch,10747,P3,-2531.15,479.4136,P3P4
Touch,10911,P3,-2597.46,359.5414,P3P4
Touch,11010,P3,-2551.61,337.9634,P3P4
Touch,13295,P3,169.501,249.6802,P3P4
Touch,13591,P3,240.652,162.5152,P3P4
Touch,13908,P3,192.627,166.0722,P3P4
Touch,13992,P3,39.0998,202.08440000000002,P3P4
Touch,14180,P3,-1421.65,1340.4379999999999,P3P4
Touch,14698,P3,-1824.58,522.1052000000001,P3P4
Touch,14870,P3,-1792.37,511.33279999999996,P3P4
Touch,14904,P3,-1797.47,535.1207999999999,P3P4
Touch,15738,P3,-1849.51,517.8702,P3P4
Touch,15776,P3,-1919.48,532.6692,P3P4
Touch,15812,P3,-1898.23,396.2412,P3P4
Touch,15846,P3,-1801.95,459.9678,P3P4
Touch,15870,P3,-1762.84,508.3266,P3P4
Touch,15895,P3,-1741.27,566.039,P3P4
Touch,15918,P3,-1783.35,502.46580000000006,P3P4
Touch,16041,P3,-1740.97,554.1135999999999,P3P4
Touch,16077,P3,-1734.05,547.2316000000001,P3P4
Touch,16135,P3,-1727.99,549.7378000000001,P3P4
Touch,16183,P3,-1737.5,590.0528,P3P4
Touch,16298,P3,-1855.09,244.82360000000003,P3P4
Touch,16362,P3,-1822.45,31.339460000000003,P3P4
Touch,16419,P3,-1746.59,181.04579999999999,P3P4
Touch,16639,P3,-1774.51,570.3474,P3P4
Touch,16662,P3,-1775.44,560.3933999999999,P3P4
Touch,16744,P3,-1616.39,445.37420000000003,P3P4
Touch,16761,P3,-1406.71,440.6154,P3P4
Touch,16769,P3,-1350.5,445.7036,P3P4
Touch,16772,P3,-1337.41,449.674,P3P4
Touch,16810,P3,-1545.3,422.311,P3P4
Touch,16848,P3,-1564.72,446.71539999999993,P3P4
Touch,16882,P3,-1596.39,388.53959999999995,P3P4
Touch,16912,P3,-1600.07,364.93240000000003,P3P4
Touch,16936,P3,-1598.39,370.24979999999994,P3P4
Touch,17030,P3,-1581.66,415.47740000000005,P3P4
Touch,17220,P3,-1719.99,505.0714,P3P4
Touch,17317,P3,-1774.92,635.6972,P3P4
Touch,17464,P3,-1811.65,646.8028,P3P4
Touch,17635,P3,-1828.33,713.8340000000001,P3P4
Touch,17769,P3,-1787.18,596.3098,P3P4
Touch,17865,P3,-1827.43,550.9576,P3P4
Touch,18167,P3,-1852.73,640.969,P3P4
Voice,18614,P3,187.152,2262.386,P3P4
Voice,18732,P3,181.414,2258.558,P3P4
Touch,18989,P3,-1058.39,583.0516,P3P4
Touch,19133,P3,-1906.5,545.6132,P3P4
Touch,19355,P3,-1734.93,494.6986,P3P4
Touch,19855,P3,-1791.1,499.5544,P3P4
Touch,20000,P3,-1787.29,509.13320000000004,P3P4
Touch,20252,P3,-1753.45,301.7544,P3P4
Touch,20427,P3,-1707.09,492.49120000000005,P3P4
Touch,20534,P3,-1750.25,445.79040000000003,P3P4
Touch,20898,P3,-1759.94,477.866,P3P4
Touch,21244,P3,-1787.41,419.816,P3P4
Touch,21266,P3,-1784.36,418.0084,P3P4
Touch,21343,P3,-1470.77,530.3494,P3P4
Touch,23110,P3,-1356.55,681.9574,P3P4
Touch,23565,P3,-1963.95,393.921,P3P4
Touch,23802,P3,-2398.87,548.6317999999999,P3P4
Touch,23876,P3,-2424.64,604.4282,P3P4
Touch,24582,P3,-2554.27,682.2620000000001,P3P4
Touch,24623,P3,-2564.1,548.9280000000001,P3P4
Touch,24655,P3,-2561.37,533.5292,P3P4
Touch,24671,P3,-2566.2,527.422,P3P4
Touch,24696,P3,-2567.5,524.8248000000001,P3P4
Touch,24717,P3,-2559.6,554.863,P3P4
Touch,24745,P3,-2566.69,648.7030000000001,P3P4
Touch,24773,P3,-2562.65,618.217,P3P4
Touch,24789,P3,-2563.5,618.1157999999999,P3P4
Touch,24809,P3,-2552.61,607.3576,P3P4
Touch,24835,P3,-2536.67,512.6668,P3P4
Touch,24860,P3,-2548.76,436.08459999999997,P3P4
Touch,24875,P3,-2548.85,429.2664,P3P4
Touch,24905,P3,-2521.94,439.0742,P3P4
Touch,25011,P3,-2135.29,379.3164,P3P4
Touch,25077,P3,-2304.69,633.8336,P3P4
Touch,25899,P3,-2452.98,581.3346,P3P4
Touch,25939,P3,-2158.13,701.423,P3P4
Touch,26022,P3,-1025.02,569.8621999999999,P3P4
Touch,26024,P3,-1011.2,569.6610000000001,P3P4
Touch,26062,P3,-1119.71,741.886,P3P4
Touch,26322,P3,-1598.71,683.0534,P3P4
Touch,26469,P3,-920.834,537.4192,P3P4
Touch,26582,P3,-225.774,430.8334,P3P4
Touch,27014,P3,162.71,319.58000000000004,P3P4
Touch,27051,P3,146.578,121.55879999999999,P3P4
Touch,27179,P3,-634.111,500.5036,P3P4
Touch,27255,P3,-930.152,417.4082,P3P4
Touch,27265,P3,-1016.5,401.67359999999996,P3P4
Touch,27271,P3,-1034.2,395.11620000000005,P3P4
Touch,27522,P3,-75.1657,554.1786,P3P4
Touch,27528,P3,-54.1214,569.3758,P3P4
Touch,27553,P3,30.262,583.8772,P3P4
Touch,27591,P3,-49.7691,538.0373999999999,P3P4
Touch,27595,P3,-57.5486,550.383,P3P4
Touch,27602,P3,-79.1088,557.8848,P3P4
Touch,27658,P3,-870.227,494.26179999999994,P3P4
Touch,27785,P3,-2075.87,480.38500000000005,P3P4
Touch,28025,P3,-1007.08,480.2892,P3P4
Touch,28165,P3,-740.533,528.5305999999999,P3P4
Touch,28343,P3,-1030.14,704.2064,P3P4
Touch,28426,P3,-936.959,519.5524,P3P4
Touch,29217,P3,-343.505,541.595,P3P4
Touch,29235,P3,-346.581,473.40020000000004,P3P4
Touch,29285,P3,-1029.31,390.366,P3P4
Touch,29341,P3,-1715.06,321.00919999999996,P3P4
Touch,29481,P3,-1896.07,441.5062,P3P4
Touch,29514,P3,-1404.41,521.5402,P3P4
Touch,29547,P3,-826.923,530.8543999999999,P3P4
Voice,31405,P3,-522.093,2543.556,P3P4
Touch,32424,P3,-1508.16,440.9982,P3P4
Touch,32438,P3,-1497.37,469.0478,P3P4
Touch,33334,P3,-1855.35,631.1366,P3P4
Touch,33625,P3,-1886.63,557.0948000000001,P3P4
Touch,33737,P3,-1783.62,575.7606,P3P4
Touch,34587,P3,-1913.61,641.671,P3P4
Touch,36412,P3,-1788.42,602.7366,P3P4
Touch,36705,P3,-1798.25,423.25,P3P4
Touch,36743,P3,-1815.86,403.3996,P3P4
Touch,37114,P3,-1870.85,485.4764,P3P4
Touch,37266,P3,-1834.0,580.9812,P3P4
Touch,39145,P3,-1521.23,581.3966,P3P4
Touch,39356,P3,-1647.18,554.0126,P3P4
Touch,40530,P3,-1806.71,663.5282,P3P4
Touch,46294,P3,-2412.89,428.26179999999994,P3P4
Touch,46297,P3,-2410.36,430.87700000000007,P3P4
Touch,46305,P3,-2407.7,438.6791999999999,P3P4
Touch,46313,P3,-2401.61,449.76939999999996,P3P4
Touch,46674,P3,-2460.49,485.0146,P3P4
Touch,46967,P3,-2410.12,484.816,P3P4
Touch,47065,P3,-2424.16,505.929,P3P4
Touch,47116,P3,-2435.06,483.4742,P3P4
Touch,50849,P3,206.122,301.40199999999993,P3P4
Touch,50942,P3,255.619,303.66399999999993,P3P4
Touch,51475,P3,573.555,971.4437999999998,P3P4
Touch,51612,P3,150.031,1320.398,P3P4
Touch,53619,P3,-2489.14,533.3931999999999,P3P4
Touch,54297,P3,-15.2321,334.2407999999999,P3P4
Touch,54689,P3,-2389.76,633.1388,P3P4
Touch,54731,P3,-2420.48,525.4109999999998,P3P4
Touch,54967,P3,-2356.8,678.3699999999999,P3P4
Touch,54990,P3,-2348.26,688.5784,P3P4
Touch,55001,P3,-2340.05,668.1789999999999,P3P4
