participant,task,preference
P1,open,Touch
P1,close,Touch
P1,select,Touch
P1,deselect,Touch
P1,sort,Touch
P1,resize,Touch
P1,move,Touch
P1,scroll,Touch
P1,mark,I prefer neither
P1,clear,I prefer neither
P1,search,Speech
P1,clearsearch,Speech
P1,addtag,Touch
P1,assigntag,Touch
P1,selecttag,Touch
P1,removetag,I prefer neither
P1,deletetag,Touch
P2,open,Touch
P2,close,I prefer them equally
P2,select,Touch
P2,deselect,Touch
P2,sort,I prefer them equally
P2,resize,Touch
P2,move,I prefer them equally
P2,scroll,Touch
P2,mark,Touch
P2,clear,Touch
P2,search,I prefer them equally
P2,clearsearch,Touch
P2,addtag,Speech
P2,assigntag,Touch
P2,selecttag,I prefer neither
P2,removetag,I prefer neither
P2,deletetag,I prefer neither
P3,open,Touch
P3,close,Touch
P3,select,Touch
P3,deselect,Touch
P3,sort,Speech
P3,resize,Touch
P3,move,Touch
P3,scroll,Touch
P3,mark,Touch
P3,clear,Touch
P3,search,Speech
P3,clearsearch,Speech
P3,addtag,Speech
P3,assigntag,Touch
P3,selecttag,I prefer them equally
P3,removetag,Touch
P3,deletetag,Touch
P4,open,Touch
P4,close,Touch
P4,select,Speech
P4,deselect,I prefer them equally
P4,sort,Speech
P4,resize,Touch
P4,move,Touch
P4,scroll,Touch
P4,mark,Touch
P4,clear,I prefer them equally
P4,search,Touch
P4,clearsearch,I prefer them equally
P4,addtag,Touch
P4,assigntag,I prefer them equally
P4,selecttag,I prefer them equally
P4,removetag,Touch
P4,deletetag,I prefer them equally
P5,open,Touch
P5,close,Touch
P5,select,Touch
P5,deselect,Touch
P5,sort,Speech
P5,resize,Touch
P5,move,Touch
P5,scroll,Touch
P5,mark,Touch
P5,clear,I prefer them equally
P5,search,I prefer them equally
P5,clearsearch,I prefer neither
P5,addtag,Touch
P5,assigntag,Touch
P5,selecttag,I prefer them equally
P5,removetag,Touch
P5,deletetag,Touch
P6,open,Touch
P6,close,Touch
P6,select,Touch
P6,deselect,Speech
P6,sort,Speech
P6,resize,I prefer neither
P6,move,Touch
P6,scroll,Touch
P6,mark,Touch
P6,clear,Touch
P6,search,I prefer them equally
P6,clearsearch,I prefer them equally
P6,addtag,Speech
P6,assigntag,Touch
P6,selecttag,I prefer neither
P6,removetag,I prefer neither
P6,deletetag,Touch
P7,open,Touch
P7,close,Touch
P7,select,I prefer them equally
P7,deselect,Speech
P7,sort,Speech
P7,resize,Touch
P7,move,Touch
P7,scroll,Touch
P7,mark,Touch
P7,clear,I prefer neither
P7,search,I prefer them equally
P7,clearsearch,Speech
P7,addtag,Speech
P7,assigntag,Touch
P7,selecttag,Speech
P7,removetag,Speech
P7,deletetag,Speech
P8,open,Touch
P8,close,Touch
P8,select,Speech
P8,deselect,Touch
P8,sort,Speech
P8,resize,I prefer neither
P8,move,Touch
P8,scroll,Touch
P8,mark,Touch
P8,clear,Touch
