participant,question,activity,percentage
P1,How did you learn about what your partner was doing?,They told me,10
P1,How did you learn about what your partner was doing?,I asked them,0
P1,How did you learn about what your partner was doing?,We did it together,90
P1,How did you learn about what your partner was doing?,I looked at their search,0
P1,How did you learn about what your partner was doing?,I looked at their documents,0
P1,How did you learn about what your partner was doing?,I looked at my own search results,0
P1,How did you learn about what your partner was doing?,I heard their speech commands,0
P1,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,0
P1,I gave my partner information by?,Telling them,90
P1,I gave my partner information by?,Suggesting searches,0
P1,I gave my partner information by?,Suggesting articles,0
P1,I gave my partner information by?,Passing them or showing them articles,10
P1,I worked?,Alone researching my own question,20
P1,I worked?,Alone researching a shared question,10
P1,I worked?,Together with my partner,70
P2,How did you learn about what your partner was doing?,They told me,45
P2,How did you learn about what your partner was doing?,I asked them,10
P2,How did you learn about what your partner was doing?,We did it together,25
P2,How did you learn about what your partner was doing?,I looked at their search,6
P2,How did you learn about what your partner was doing?,I looked at their documents,10
P2,How did you learn about what your partner was doing?,I looked at my own search results,0
P2,How did you learn about what your partner was doing?,I heard their speech commands,1
P2,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,3
P2,I gave my partner information by?,Telling them,30
P2,I gave my partner information by?,Suggesting searches,20
P2,I gave my partner information by?,Suggesting articles,20
P2,I gave my partner information by?,Passing them or showing them articles,30
P2,I worked?,Alone researching my own question,20
P2,I worked?,Alone researching a shared question,70
P2,I worked?,Together with my partner,10
P3,How did you learn about what your partner was doing?,They told me,5
P3,How did you learn about what your partner was doing?,I asked them,30
P3,How did you learn about what your partner was doing?,We did it together,35
P3,How did you learn about what your partner was doing?,I looked at their search,0
P3,How did you learn about what your partner was doing?,I looked at their documents,15
P3,How did you learn about what your partner was doing?,I looked at my own search results,0
P3,How did you learn about what your partner was doing?,I heard their speech commands,5
P3,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,10
P3,I gave my partner information by?,Telling them,15
P3,I gave my partner information by?,Suggesting searches,10
P3,I gave my partner information by?,Suggesting articles,60
P3,I gave my partner information by?,Passing them or showing them articles,15
P3,I worked?,Alone researching my own question,50
P3,I worked?,Alone researching a shared question,35
P3,I worked?,Together with my partner,15
P4,How did you learn about what your partner was doing?,They told me,10
P4,How did you learn about what your partner was doing?,I asked them,5
P4,How did you learn about what your partner was doing?,We did it together,20
P4,How did you learn about what your partner was doing?,I looked at their search,10
P4,How did you learn about what your partner was doing?,I looked at their documents,5
P4,How did you learn about what your partner was doing?,I looked at my own search results,10
P4,How did you learn about what your partner was doing?,I heard their speech commands,20
P4,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,20
P4,I gave my partner information by?,Telling them,20
P4,I gave my partner information by?,Suggesting searches,30
P4,I gave my partner information by?,Suggesting articles,30
P4,I gave my partner information by?,Passing them or showing them articles,20
P4,I worked?,Alone researching my own question,10
P4,I worked?,Alone researching a shared question,10
P4,I worked?,Together with my partner,80
P5,How did you learn about what your partner was doing?,They told me,15
P5,How did you learn about what your partner was doing?,I asked them,5
P5,How did you learn about what your partner was doing?,We did it together,10
P5,How did you learn about what your partner was doing?,I looked at their search,5
P5,How did you learn about what your partner was doing?,I looked at their documents,15
P5,How did you learn about what your partner was doing?,I looked at my own search results,10
P5,How did you learn about what your partner was doing?,I heard their speech commands,10
P5,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,30
P5,I gave my partner information by?,Telling them,60
P5,I gave my partner information by?,Suggesting searches,10
P5,I gave my partner information by?,Suggesting articles,20
P5,I gave my partner information by?,Passing them or showing them articles,10
P5,I worked?,Alone researching my own question,70
P5,I worked?,Alone researching a shared question,20
P5,I worked?,Together with my partner,10
P6,How did you learn about what your partner was doing?,They told me,30
P6,How did you learn about what your partner was doing?,I asked them,40
P6,How did you learn about what your partner was doing?,We did it together,5
P6,How did you learn about what your partner was doing?,I looked at their search,5
P6,How did you learn about what your partner was doing?,I looked at their documents,5
P6,How did you learn about what your partner was doing?,I looked at my own search results,10
P6,How did you learn about what your partner was doing?,I heard their speech commands,5
P6,How did you learn about what your partner was doing?,I saw them touch certain objects on the screen,0
P6,I gave my partner information by?,Telling them,65
P6,I gave my partner information by?,Suggesting searches,15
P6,I gave my partner information by?,Suggesting articles,10
P6,I gave my partner information by?,Passing them or showing them articles,10
P6,I worked?,Alone researching my own question,70
P6,I worked?,Alone researching a shared question,20
P6,I worked?,Together with my partner,10
P7,How did you learn about what your partner was doing?,They told me,20
P7,How did you learn about what your partner was doing?,I asked them,50
P7,How did you learn about what your partner was doing?,We did it together,20
P7,How did you learn about what your partner was doing?,I looked at their search,0
P7,How did you learn about what your partner was doing?,I looked at their documents,5
P7,How did you learn about what your partner was doing?,I looked at my own search results,0
