participant,item,keyed,text,answer,score
P1,E1,plus,I make friends easily,Very Accurate,0
P1,E1,plus,I act comfortably with others,Very Accurate,0
P1,E2,plus,I love large parties,Very Inaccurate,0
P1,E2,minus,I avoid crowds,Very Accurate,0
P1,E3,plus,I  take charge,Very Accurate,0
P1,E3,plus,I try to lead others,Moderately Accurate,0
P1,E4,plus,I am always busy,Moderately Accurate,0
P1,E4,plus,I am always on the go,Moderately Accurate,0
P1,E5,plus,I love excitement,Neither Accurate Nor Inaccurate,0
P1,E5,plus,I seek adventure,Neither Accurate Nor Inaccurate,0
P1,E6,plus,I have a lot of fun,Moderately Accurate,0
P1,E6,plus,I love life,Very Accurate,0
P2,E1,plus,I make friends easily,Moderately Accurate,0
P2,E1,plus,I act comfortably with others,Very Accurate,0
P2,E2,plus,I love large parties,Moderately Inaccurate,0
P2,E2,minus,I avoid crowds,Very Accurate,0
P2,E3,plus,I  take charge,Very Accurate,0
P2,E3,plus,I try to lead others,Moderately Accurate,0
P2,E4,plus,I am always busy,Very Accurate,0
P2,E4,plus,I am always on the go,Moderately Accurate,0
P2,E5,plus,I love excitement,Moderately Inaccurate,0
P2,E5,plus,I seek adventure,Moderately Accurate,0
P2,E6,plus,I have a lot of fun,Moderately Inaccurate,0
P2,E6,plus,I love life,Moderately Accurate,0
P3,E1,plus,I make friends easily,Very Accurate,0
P3,E1,plus,I act comfortably with others,Moderately Accurate,0
P3,E2,plus,I love large parties,Very Accurate,0
P3,E2,minus,I avoid crowds,Moderately Inaccurate,0
P3,E3,plus,I  take charge,Moderately Inaccurate,0
P3,E3,plus,I try to lead others,Very Accurate,0
P3,E4,plus,I am always busy,Moderately Accurate,0
P3,E4,plus,I am always on the go,Moderately Inaccurate,0
P3,E5,plus,I love excitement,Very Accurate,0
P3,E5,plus,I seek adventure,Moderately Accurate,0
P3,E6,plus,I have a lot of fun,Neither Accurate Nor Inaccurate,0
P3,E6,plus,I love life,Very Accurate,0
P4,E1,plus,I make friends easily,Very Inaccurate,0
P4,E1,plus,I act comfortably with others,Moderately Inaccurate,0
P4,E2,plus,I love large parties,Very Inaccurate,0
P4,E2,minus,I avoid crowds,Moderately Accurate,0
P4,E3,plus,I  take charge,Neither Accurate Nor Inaccurate,0
P4,E3,plus,I try to lead others,Neither Accurate Nor Inaccurate,0
P4,E4,plus,I am always busy,Moderately Accurate,0
P4,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P4,E5,plus,I love excitement,Moderately Accurate,0
P4,E5,plus,I seek adventure,Very Accurate,0
P4,E6,plus,I have a lot of fun,Neither Accurate Nor Inaccurate,0
P4,E6,plus,I love life,Neither Accurate Nor Inaccurate,0
P5,E1,plus,I make friends easily,Very Inaccurate,0
P5,E1,plus,I act comfortably with others,Neither Accurate Nor Inaccurate,0
P5,E2,plus,I love large parties,Very Inaccurate,0
P5,E2,minus,I avoid crowds,Moderately Accurate,0
P5,E3,plus,I  take charge,Moderately Inaccurate,0
P5,E3,plus,I try to lead others,Moderately Inaccurate,0
P5,E4,plus,I am always busy,Moderately Accurate,0
P5,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P5,E5,plus,I love excitement,Moderately Inaccurate,0
P5,E5,plus,I seek adventure,Moderately Accurate,0
P5,E6,plus,I have a lot of fun,Neither Accurate Nor Inaccurate,0
P5,E6,plus,I love life,Neither Accurate Nor Inaccurate,0
P6,E1,plus,I make friends easily,Moderately Accurate,0
P6,E1,plus,I act comfortably with others,Neither Accurate Nor Inaccurate,0
P6,E2,plus,I love large parties,Very Inaccurate,0
P6,E2,minus,I avoid crowds,Very Accurate,0
P6,E3,plus,I  take charge,Moderately Accurate,0
P6,E3,plus,I try to lead others,Moderately Accurate,0
P6,E4,plus,I am always busy,Moderately Accurate,0
P6,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P6,E5,plus,I love excitement,Moderately Accurate,0
P6,E5,plus,I seek adventure,Very Inaccurate,0
P6,E6,plus,I have a lot of fun,Very Accurate,0
P6,E6,plus,I love life,Moderately Accurate,0
P7,E1,plus,I make friends easily,Moderately Inaccurate,0
P7,E1,plus,I act comfortably with others,Neither Accurate Nor Inaccurate,0
P7,E2,plus,I love large parties,Moderately Inaccurate,0
P7,E2,minus,I avoid crowds,Moderately Accurate,0
P7,E3,plus,I  take charge,Very Accurate,0
P7,E3,plus,I try to lead others,Very Accurate,0
P7,E4,plus,I am always busy,Moderately Accurate,0
P7,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P7,E5,plus,I love excitement,Moderately Accurate,0
P7,E5,plus,I seek adventure,Moderately Accurate,0
P7,E6,plus,I have a lot of fun,Very Accurate,0
P7,E6,plus,I love life,Very Accurate,0
P8,E1,plus,I make friends easily,Moderately Accurate,0
P8,E1,plus,I act comfortably with others,Moderately Accurate,0
P8,E2,plus,I love large parties,Moderately Inaccurate,0
P8,E2,minus,I avoid crowds,Moderately Inaccurate,0
P8,E3,plus,I  take charge,Moderately Accurate,0
P8,E3,plus,I try to lead others,Moderately Accurate,0
P8,E4,plus,I am always busy,Neither Accurate Nor Inaccurate,0
P8,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P8,E5,plus,I love excitement,Moderately Accurate,0
P8,E5,plus,I seek adventure,Very Accurate,0
P8,E6,plus,I have a lot of fun,Moderately Accurate,0
P8,E6,plus,I love life,Very Accurate,0
P9,E1,plus,I make friends easily,Moderately Inaccurate,0
P9,E1,plus,I act comfortably with others,Moderately Inaccurate,0
P9,E2,plus,I love large parties,Moderately Accurate,0
P9,E2,minus,I avoid crowds,Moderately Accurate,0
P9,E3,plus,I  take charge,Moderately Accurate,0
P9,E3,plus,I try to lead others,Moderately Accurate,0
P9,E4,plus,I am always busy,Moderately Inaccurate,0
P9,E4,plus,I am always on the go,Very Inaccurate,0
P9,E5,plus,I love excitement,Moderately Inaccurate,0
P9,E5,plus,I seek adventure,Moderately Accurate,0
P9,E6,plus,I have a lot of fun,Neither Accurate Nor Inaccurate,0
P9,E6,plus,I love life,Moderately Inaccurate,0
P10,E1,plus,I make friends easily,Very Accurate,0
P10,E1,plus,I act comfortably with others,Moderately Accurate,0
P10,E2,plus,I love large parties,Moderately Inaccurate,0
P10,E2,minus,I avoid crowds,Neither Accurate Nor Inaccurate,0
P10,E3,plus,I  take charge,Neither Accurate Nor Inaccurate,0
P10,E3,plus,I try to lead others,Moderately Inaccurate,0
P10,E4,plus,I am always busy,Moderately Accurate,0
P10,E4,plus,I am always on the go,Moderately Accurate,0
P10,E5,plus,I love excitement,Moderately Accurate,0
P10,E5,plus,I seek adventure,Moderately Inaccurate,0
P10,E6,plus,I have a lot of fun,Very Accurate,0
P10,E6,plus,I love life,Moderately Accurate,0
P11,E1,plus,I make friends easily,Moderately Inaccurate,0
P11,E1,plus,I act comfortably with others,Moderately Inaccurate,0
P11,E2,plus,I love large parties,Moderately Inaccurate,0
P11,E2,minus,I avoid crowds,Moderately Accurate,0
P11,E3,plus,I  take charge,Moderately Inaccurate,0
P11,E3,plus,I try to lead others,Moderately Inaccurate,0
P11,E4,plus,I am always busy,Moderately Accurate,0
P11,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P11,E5,plus,I love excitement,Moderately Accurate,0
P11,E5,plus,I seek adventure,Moderately Accurate,0
P11,E6,plus,I have a lot of fun,Moderately Accurate,0
P11,E6,plus,I love life,Moderately Accurate,0
P12,E1,plus,I make friends easily,Moderately Accurate,0
P12,E1,plus,I act comfortably with others,Moderately Accurate,0
P12,E2,plus,I love large parties,Neither Accurate Nor Inaccurate,0
P12,E2,minus,I avoid crowds,Neither Accurate Nor Inaccurate,0
P12,E3,plus,I  take charge,Moderately Inaccurate,0
P12,E3,plus,I try to lead others,Moderately Accurate,0
P12,E4,plus,I am always busy,Moderately Accurate,0
P12,E4,plus,I am always on the go,Moderately Accurate,0
P12,E5,plus,I love excitement,Very Accurate,0
P12,E5,plus,I seek adventure,Very Accurate,0
P12,E6,plus,I have a lot of fun,Very Accurate,0
P12,E6,plus,I love life,Very Accurate,0
P13,E1,plus,I make friends easily,Moderately Accurate,0
P13,E1,plus,I act comfortably with others,Neither Accurate Nor Inaccurate,0
P13,E2,plus,I love large parties,Moderately Accurate,0
P13,E2,minus,I avoid crowds,Neither Accurate Nor Inaccurate,0
P13,E3,plus,I  take charge,Moderately Accurate,0
P13,E3,plus,I try to lead others,Neither Accurate Nor Inaccurate,0
P13,E4,plus,I am always busy,Moderately Accurate,0
P13,E4,plus,I am always on the go,Neither Accurate Nor Inaccurate,0
P13,E5,plus,I love excitement,Moderately Accurate,0
P13,E5,plus,I seek adventure,Very Accurate,0
P13,E6,plus,I have a lot of fun,Moderately Accurate,0
P13,E6,plus,I love life,Very Accurate,0
P14,E1,plus,I make friends easily,Moderately Accurate,0
P14,E1,plus,I act comfortably with others,Moderately Accurate,0
P14,E2,plus,I love large parties,Neither Accurate Nor Inaccurate,0
