timestamp,modality,participant,action,details,comment,group
2023-11-29 09:31:22.604000+00:00,Voice,BLUE,searching,intoxicated,,G1
2023-11-29 09:31:24.158000+00:00,Touch,GREEN,open,document 1004,,G1
2023-11-29 09:31:49.126000+00:00,Touch,GREEN,moved,document 1004,,G1
2023-11-29 09:31:54.234000+00:00,Touch,GREEN,moved,document 1004,,G1
2023-11-29 09:31:59.878000+00:00,Touch,GREEN,moved,document 1004,,G1
2023-11-29 09:32:42.237000+00:00,Voice,BLUE,searching,flowers,,G1
2023-11-29 09:33:05.216000+00:00,Voice,GREEN,error,reportRecognitionError,,G1
2023-11-29 09:33:32.338000+00:00,Voice,GREEN,error,reportRecognitionError,,G1
2023-11-29 09:33:35.068000+00:00,Voice,GREEN,error,reportRecognitionError,,G1
2023-11-29 09:33:41.281000+00:00,Voice,GREEN,searching,drug,,G1
2023-11-29 09:33:49.235000+00:00,Touch,BLUE,open,document 1053,,G1
2023-11-29 09:33:50.584000+00:00,Touch,BLUE,open,document 1059,,G1
2023-11-29 09:33:52.922000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:33:53.179000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:33:55.466000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:33:56.150000+00:00,Touch,BLUE,open,document 1061,,G1
2023-11-29 09:34:03.135000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:34:03.597000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:34:12.246000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:34:36.814000+00:00,Touch,GREEN,add,tag,,G1
2023-11-29 09:35:13.298000+00:00,Voice,BLUE,error,reportRecognitionError,,G1
2023-11-29 09:35:19.410000+00:00,Voice,GREEN,add,tag police,,G1
2023-11-29 09:35:21.142000+00:00,Voice,BLUE,searching,smell,,G1
2023-11-29 09:35:23.849000+00:00,Touch,GREEN,select,document 1053,,G1
2023-11-29 09:35:25.715000+00:00,Touch,GREEN,tag,all selected articles with tag: POLICE,,G1
2023-11-29 09:35:29.108000+00:00,Touch,BLUE,open,document 1060,,G1
2023-11-29 09:35:30.787000+00:00,Touch,GREEN,close,document 1053,,G1
2023-11-29 09:35:33.186000+00:00,Touch,BLUE,stopped,scrolling Document 1060,,G1
2023-11-29 09:36:05.067000+00:00,Touch,BLUE,highlight,"sentence 'The candles were only making the place seem more sinister, like a crypt or mausoleum.' in document 1060",,G1
2023-11-29 09:36:06.688000+00:00,Touch,GREEN,highlight,sentence 'At the end we found a closed blast door.' in document 1060,,G1
2023-11-29 09:36:07.621000+00:00,Touch,GREEN,highlight,"sentence 'We took the stairs down another level, passed through a blast door and entered a tunnel made from what looked like a corrugated drain pipe about seven or eight feet in diameter with a narrow concrete path poured in the bottom.' in document 1060",,G1
2023-11-29 09:36:08.249000+00:00,Touch,GREEN,clear,sentence 'At the end we found a closed blast door.' in document 1060,,G1
2023-11-29 09:36:08.832000+00:00,Touch,GREEN,clear,"sentence 'The candles were only making the place seem more sinister, like a crypt or mausoleum.' in document 1060",,G1
2023-11-29 09:36:10.561000+00:00,Touch,BLUE,clear,"sentence 'We took the stairs down another level, passed through a blast door and entered a tunnel made from what looked like a corrugated drain pipe about seven or eight feet in diameter with a narrow concrete path poured in the bottom.' in document 1060",,G1
2023-11-29 09:36:13.840000+00:00,Touch,BLUE,stopped,scrolling Document 1060,,G1
2023-11-29 09:36:15.795000+00:00,Touch,GREEN,highlight,"sentence 'We took the stairs down another level, passed through a blast door and entered a tunnel made from what looked like a corrugated drain pipe about seven or eight feet in diameter with a narrow concrete path poured in the bottom.' in document 1060",,G1
2023-11-29 09:36:46.729000+00:00,Touch,GREEN,stopped,scrolling Document 1060,,G1
2023-11-29 09:36:47.581000+00:00,Touch,GREEN,resized,document 1060,,G1
2023-11-29 09:37:11.708000+00:00,Touch,GREEN,stopped,scrolling Document 1060,,G1
2023-11-29 09:37:17.239000+00:00,Touch,GREEN,moved,document 1060,,G1
2023-11-29 09:37:30.015000+00:00,Touch,BLUE,searching,RELIABLE,,G1
2023-11-29 09:37:39.867000+00:00,Touch,BLUE,select,document 1060,,G1
2023-11-29 09:37:50.458000+00:00,Touch,BLUE,add,tag UNRELIABLE,,G1
2023-11-29 09:37:53.245000+00:00,Touch,BLUE,tag,all selected articles with tag: UNRELIABLE,,G1
2023-11-29 09:37:59.521000+00:00,Touch,BLUE,deselect,document 1060,,G1
2023-11-29 09:38:01.117000+00:00,Touch,GREEN,close,document 1060,,G1
2023-11-29 09:38:03.159000+00:00,Touch,GREEN,moved,document 1060,,G1
2023-11-29 09:38:16.798000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:22.512000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:23.653000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:24.611000+00:00,Touch,GREEN,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:32.281000+00:00,Touch,GREEN,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:51.454000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:52.717000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:38:53.909000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:38:55.062000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:38:55.864000+00:00,Touch,BLUE,moved,document 1059,,G1
2023-11-29 09:38:56.678000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:38:57.449000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:01.533000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:02.736000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:04.665000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:06.268000+00:00,Touch,BLUE,stopped,scrolling Document 1059,,G1
2023-11-29 09:39:08.837000+00:00,Touch,GREEN,moved,document 1051,,G1
2023-11-29 09:39:09.449000+00:00,Touch,GREEN,highlight,"sentence 'Additional resources Sidell FR. Riot control agents. In: Zajtchuk R, Bellamy RF, eds. Textbook of military medicine: medical aspects of chemical and biological warfare. Washington, DC: Office of the Surgeon General at TMM Publications, Borden Institute, Walter Reed Army Medical Center ; 1997:307-24. Arsenic (Inorganic) Clinical description Acute ingestion of toxic amounts of inorganic arsenic typically causes severe gastrointestinal signs and symptoms (e.' in document 1059",,G1
2023-11-29 09:39:10.129000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:11.816000+00:00,Touch,GREEN,highlight,sentence 'The effects of adamsite poisoning take minutes to begin and might last for hours (1).' in document 1059,,G1
2023-11-29 09:39:12.249000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:13.875000+00:00,Touch,GREEN,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:14.140000+00:00,Touch,BLUE,resized,document 1059,,G1
2023-11-29 09:39:15.319000+00:00,Touch,GREEN,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:16.266000+00:00,Touch,GREEN,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:16.939000+00:00,Touch,GREEN,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:17.642000+00:00,Touch,GREEN,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:18.731000+00:00,Touch,GREEN,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:19.678000+00:00,Touch,GREEN,highlight,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:20.438000+00:00,Touch,GREEN,clear,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:21.479000+00:00,Touch,BLUE,highlight,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:22.264000+00:00,Touch,BLUE,clear,"sentence ', vomiting, abdominal pain, and diarrhea).' in document 1059",,G1
2023-11-29 09:39:24.205000+00:00,Touch,GREEN,highlight,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
2023-11-29 09:39:24.978000+00:00,Touch,BLUE,clear,sentence 'These signs and symptoms might rapidly lead to dehydration and shock.' in document 1059,,G1
